group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination
main,20260918,4,sweep,random,spatial,1,15,15,1.0,16275.876671424721,1085.0584447616482,0.5260781000033603,320,892,877,11696.876671424721,273.0,1600.0,2676.0,30.0,15,49,full_coverage
main,20260918,4,triangulate,random,spatial,1,15,15,1.0,13460.215448444716,897.3476965629811,0.17236720000073547,335,189,174,10894.215448444716,294.0,1675.0,567.0,30.0,15,49,full_coverage
main,20260919,4,sweep,random,spatial,1,11,11,1.0,14775.732909989874,1343.2484463627159,0.410472600000503,494,643,632,9909.732909989874,445.0,2470.0,1929.0,22.0,11,49,full_coverage
main,20260919,4,triangulate,random,spatial,1,11,11,1.0,13200.304806003602,1200.027709636691,0.11651010000059614,505,165,154,9696.304806003602,462.0,2525.0,495.0,22.0,11,49,full_coverage
main,20260920,4,sweep,random,spatial,1,13,13,1.0,13358.242566744237,1027.5571205187875,0.3713099000015063,527,491,478,8745.242566744239,479.0,2635.0,1473.0,26.0,13,49,full_coverage
main,20260920,4,triangulate,random,spatial,1,13,13,1.0,12969.63743267803,997.6644178983099,0.2237200000017765,540,109,96,9417.637432678035,499.0,2700.0,327.0,26.0,13,49,full_coverage
main,20260921,4,sweep,random,spatial,1,10,10,1.0,14503.925280238753,1450.3925280238752,0.3322193000058178,665,547,537,8900.925280238753,617.0,3325.0,1641.0,20.0,10,49,full_coverage
main,20260921,4,triangulate,random,spatial,1,10,10,1.0,12937.47457669968,1293.747457669968,0.12292109999543754,663,68,58,8777.474576699682,621.0,3315.0,204.0,20.0,10,49,full_coverage
main,20260922,4,sweep,random,spatial,1,14,14,1.0,14677.631471763796,1048.4022479831283,0.4971587999971234,441,643,629,10122.631471763803,393.0,2205.0,1929.0,28.0,14,49,full_coverage
main,20260922,4,triangulate,random,spatial,1,14,14,1.0,11913.785354353624,850.984668168116,0.06893110000237357,455,54,40,9035.785354353626,413.0,2275.0,162.0,28.0,14,49,full_coverage
main,20260923,4,sweep,random,spatial,1,10,10,1.0,15394.063600333751,1539.4063600333752,0.32985769999504555,581,659,649,9960.063600333751,532.0,2905.0,1977.0,20.0,10,49,full_coverage
main,20260923,4,triangulate,random,spatial,1,10,10,1.0,12868.445965300476,1286.8445965300475,0.06052629999612691,591,98,88,9052.445965300478,547.0,2955.0,294.0,20.0,10,49,full_coverage
main,20260924,4,sweep,random,spatial,1,12,12,1.0,14946.229111963023,1245.5190926635853,0.3138041999991401,542,645,633,9784.229111963026,493.0,2710.0,1935.0,24.0,12,49,full_coverage
main,20260924,4,triangulate,random,spatial,1,12,12,1.0,12375.564645256309,1031.297053771359,0.07665070000075502,554,60,48,8890.564645256312,511.0,2770.0,180.0,24.0,12,49,full_coverage
main,20260925,4,sweep,random,spatial,1,15,15,1.0,13867.562443803079,924.5041629202053,0.37897420000081183,384,570,555,9869.56244380308,338.0,1920.0,1710.0,30.0,15,49,full_coverage
main,20260925,4,triangulate,random,spatial,1,15,15,1.0,12333.420786948647,822.2280524632431,0.09839530000317609,399,88,73,9689.420786948653,355.0,1995.0,264.0,30.0,15,49,full_coverage
main,20260926,4,sweep,random,spatial,1,15,15,1.0,14483.598863251405,965.5732575500937,0.39178240000182996,354,705,690,10262.598863251405,306.0,1770.0,2115.0,30.0,15,49,full_coverage
main,20260926,4,triangulate,random,spatial,1,15,15,1.0,13038.462043884974,869.230802925665,0.1549243999979808,369,152,137,10382.462043884976,325.0,1845.0,456.0,30.0,15,49,full_coverage
main,20260927,4,sweep,random,spatial,1,13,13,1.0,15562.341266195715,1197.1031743227472,0.3357303000011598,446,680,667,10868.341266195714,398.0,2230.0,2040.0,26.0,13,49,full_coverage
main,20260927,4,triangulate,random,spatial,1,13,13,1.0,12949.176311649693,996.0904855115149,0.10353740000573453,468,136,123,9749.176311649695,426.0,2340.0,408.0,26.0,13,49,full_coverage
main,20260928,4,sweep,random,spatial,1,11,11,1.0,13874.797313237452,1261.3452102943138,0.3019843000001856,520,570,559,9070.797313237454,472.0,2600.0,1710.0,22.0,11,49,full_coverage
main,20260928,4,triangulate,random,spatial,1,11,11,1.0,12129.300516355686,1102.6636833050625,0.05104559999745106,531,80,69,8723.300516355688,489.0,2655.0,240.0,22.0,11,49,full_coverage
main,20260929,4,sweep,random,spatial,1,11,11,1.0,14547.920222459705,1322.5382020417912,0.283641499998339,579,550,539,9449.920222459707,531.0,2895.0,1650.0,22.0,11,49,full_coverage
main,20260929,4,triangulate,random,spatial,1,11,11,1.0,13784.098669439607,1253.0998790399642,0.10238599999865983,590,167,156,9764.098669439612,547.0,2950.0,501.0,22.0,11,49,full_coverage
main,20260930,4,sweep,random,spatial,1,14,14,1.0,12916.887907390677,922.6348505279055,0.36317979999876115,427,533,519,8774.887907390681,380.0,2135.0,1599.0,28.0,14,49,full_coverage
main,20260930,4,triangulate,random,spatial,1,14,14,1.0,13098.238008030457,935.5884291450327,0.22351650000200607,441,151,137,10010.238008030465,402.0,2205.0,453.0,28.0,14,49,full_coverage
main,20260931,4,sweep,random,spatial,1,12,12,1.0,15338.892702594892,1278.2410585495743,0.3263982999997097,478,747,735,10253.892702594894,430.0,2390.0,2241.0,24.0,12,49,full_coverage
main,20260931,4,triangulate,random,spatial,1,12,12,1.0,11764.664734705306,980.3887278921088,0.053563900000881404,490,78,66,8610.664734705306,446.0,2450.0,234.0,24.0,12,49,full_coverage
main,20260932,4,sweep,random,spatial,1,13,13,1.0,14448.495066353049,1111.422697411773,0.3380981000009342,448,565,552,10088.495066353049,399.0,2240.0,1695.0,26.0,13,49,full_coverage
main,20260932,4,triangulate,random,spatial,1,13,13,1.0,13352.994938657263,1027.1534568197894,0.1506091999981436,461,135,122,10198.99493865726,418.0,2305.0,405.0,26.0,13,49,full_coverage
main,20260933,4,sweep,random,spatial,1,10,10,1.0,13294.6136069681,1329.46136069681,0.2742660000003525,618,393,383,8436.6136069681,569.0,3090.0,1179.0,20.0,10,49,full_coverage
main,20260933,4,triangulate,random,spatial,1,10,10,1.0,13552.07558965616,1355.207558965616,0.07032410000101663,631,83,73,9537.075589656164,591.0,3155.0,249.0,20.0,10,49,full_coverage
main,20260934,4,sweep,random,spatial,1,14,14,1.0,15905.94724834311,1136.139089167365,0.3654843000040273,473,756,742,10819.947248343113,425.0,2365.0,2268.0,28.0,14,49,full_coverage
main,20260934,4,triangulate,random,spatial,1,14,14,1.0,13819.86180551612,987.1329861082943,0.08605230000102893,487,203,189,10302.861805516122,445.0,2435.0,609.0,28.0,14,49,full_coverage
main,20260935,4,sweep,random,spatial,1,10,10,1.0,15179.466563176666,1517.9466563176666,0.267283100001805,535,674,664,9976.466563176667,486.0,2675.0,2022.0,20.0,10,49,full_coverage
main,20260935,4,triangulate,random,spatial,1,10,10,1.0,12346.59131643653,1234.659131643653,0.0542113999981666,545,73,63,8880.59131643653,502.0,2725.0,219.0,20.0,10,49,full_coverage
main,20260936,4,sweep,random,spatial,1,15,15,1.0,15466.52727431724,1031.101818287816,0.38974009999947157,357,770,755,11031.527274317243,310.0,1785.0,2310.0,30.0,15,49,full_coverage
main,20260936,4,triangulate,random,spatial,1,15,15,1.0,14986.618399995301,999.1078933330201,0.18943639999633888,372,294,279,11883.6183999953,331.0,1860.0,882.0,30.0,15,49,full_coverage
main,20260937,4,sweep,random,spatial,1,11,11,1.0,14699.93036165139,1336.3573056046719,0.33911929999885615,612,603,592,9245.930361651392,563.0,3060.0,1809.0,22.0,11,49,full_coverage
main,20260937,4,triangulate,random,spatial,1,11,11,1.0,12688.858808395453,1153.5326189450411,0.06582659999548923,623,75,64,8744.858808395456,582.0,3115.0,225.0,22.0,11,49,full_coverage
main,20260938,4,sweep,random,spatial,1,12,12,1.0,14753.255059759795,1229.4379216466496,0.3125727999940864,565,613,601,9548.255059759796,517.0,2825.0,1839.0,24.0,12,49,full_coverage
main,20260938,4,triangulate,random,spatial,1,12,12,1.0,12744.278919421115,1062.0232432850928,0.0784949000008055,577,73,61,9081.27891942112,535.0,2885.0,219.0,24.0,12,49,full_coverage
main,20260939,4,sweep,random,spatial,1,10,10,1.0,13581.548675651009,1358.1548675651009,0.2674371999964933,573,395,385,8987.548675651007,524.0,2865.0,1185.0,20.0,10,49,full_coverage
main,20260939,4,triangulate,random,spatial,1,10,10,1.0,13915.677210650696,1391.5677210650697,0.12051339999743504,583,173,163,9923.677210650696,538.0,2915.0,519.0,20.0,10,49,full_coverage
main,20260940,4,sweep,random,spatial,1,10,10,1.0,15561.623731128735,1556.1623731128734,0.2651994000043487,592,665,655,10042.623731128739,544.0,2960.0,1995.0,20.0,10,49,full_coverage
