forward_m,lateral_m,source_range_m,first_error_deg,second_error_deg,area_m2,diameter_m,mec_radius_m,acute_crossing_angle_deg,second_visible
250,250,229.335,0.0,-1.005,69.90649237761545,12.462782575641901,6.2313912878209505,85.27467353369099,True
250,250,229.335,0.0,0,71.05312588617471,12.44279651075526,6.2213982553776415,85.27467353369099,True
250,250,229.335,0.0,1.005,72.23251994431638,12.426691560777487,6.213345780388754,85.27467353369099,True
250,250,229.335,1.005,-1.005,69.81083831986973,12.46465354075226,6.23232677037613,84.18459914024174,True
250,250,229.335,1.005,0,70.95483431602861,12.4443375953397,6.222168797669861,84.18459914024174,True
250,250,229.335,1.005,1.005,72.13134013710516,12.427905156123067,6.213952578061534,84.18459914024174,True
250,250,304.08000000000004,-1.005,-1.005,95.25571735489041,15.280493853105822,7.640246926552932,77.04644651074518,True
250,250,304.08000000000004,-1.005,0,97.40432911417713,15.601980456833415,7.800990228416729,77.04644651074518,True
250,250,304.08000000000004,-1.005,1.005,99.653923230018,15.935005073651169,7.9675025368255845,77.04644651074518,True
250,250,304.08000000000004,0.0,-1.005,95.79715603785746,15.361824997420426,7.680912498710213,77.79385059584592,True
250,250,304.08000000000004,0.0,0,97.9710564526797,15.6862183400598,7.8431091700299,77.79385059584592,True
250,250,304.08000000000004,0.0,1.005,100.24756107089547,16.022288003353406,8.011144001676724,77.79385059584592,True
250,250,304.08000000000004,1.005,-1.005,96.32313604232309,15.44062804361762,7.7203140218088295,78.55144539392992,True
250,250,304.08000000000004,1.005,0,98.52170622237145,15.767845569470822,7.883922784735431,78.55144539392992,True
250,250,304.08000000000004,1.005,1.005,100.82446495353565,16.10687477795538,8.05343738897769,78.55144539392992,True
250,250,378.82500000000005,-1.005,-1.005,140.15607994501033,21.42361702067092,10.71180851033546,62.35061734554768,True
250,250,378.82500000000005,-1.005,0,144.69209034714208,21.991218550378022,10.995609275189034,62.35061734554768,True
250,250,378.82500000000005,-1.005,1.005,149.49676970146675,22.584343679394703,11.292171839697373,62.35061734554768,True
250,250,378.82500000000005,0.0,-1.005,142.9131470589764,21.769524917489722,10.884762458744861,62.73794871686642,True
250,250,378.82500000000005,0.0,0,147.61192526184936,22.35262640721712,11.17631320360856,62.73794871686642,True
250,250,378.82500000000005,0.0,1.005,152.59189756019873,22.962241441212566,11.481120720606308,62.73794871686642,True
250,250,378.82500000000005,1.005,-1.005,145.792084411549,22.127727584512314,11.063863792256157,63.12033856450496,True
250,250,378.82500000000005,1.005,0,150.66258813847844,22.727059502277484,11.363529751138742,63.12033856450496,True
250,250,378.82500000000005,1.005,1.005,155.8276391586735,23.353952617827908,11.676976308913975,63.12033856450496,True
250,250,453.57000000000005,-1.005,-1.005,214.09167445970206,29.934433713558033,14.967216856779041,50.725206325583265,True
250,250,453.57000000000005,-1.005,0,223.51100993701198,30.930435906380602,15.465217953190301,50.725206325583265,True
250,250,453.57000000000005,-1.005,1.005,233.62242809123654,31.98262877107846,15.991314385539253,50.725206325583265,True
250,250,453.57000000000005,0.0,-1.005,222.35543011259256,30.809088147195528,15.404544073597789,50.8447627464892,True
250,250,453.57000000000005,0.0,0,232.38116566107692,31.85437073472377,15.927185367361885,50.8447627464892,True
250,250,453.57000000000005,0.0,1.005,243.1573877717292,32.959757376524585,16.479878688262293,50.8447627464892,True
250,250,453.57000000000005,1.005,-1.005,231.30373895136813,31.742839333498033,15.871419666749016,50.949377626104635,True
250,250,453.57000000000005,1.005,0,241.9985439243735,32.841750671063245,16.420875335531623,50.949377626104635,True
250,250,453.57000000000005,1.005,1.005,253.50953631589664,34.00510449358325,17.002552246791623,50.949377626104635,True
250,250,528.315,-1.005,-1.005,325.339398721886,40.88353515882092,20.44176757941046,41.97398978493442,True
250,250,528.315,-1.005,0,343.7780681457175,42.56023639177332,21.28011819588666,41.97398978493442,True
