data_source,case_id,phase,question,seed,kind,noise,true_source_count,cleared_count,clear_ratio,virtual_time,average_clear_time,real_program_time,movement_distance,measure_count,channel_switch_count,clear_attempt_count,failed_clear_count,strategy_version,parameters,visited_survey_points,termination,move_s,measure_s,switch_s,optical_s,laser_s,validation_passed,notes
local_synthetic,local-3-2026091118-random,holdout,3,2026091118,random,spatial,13,13,1.0,4364.436057616078,335.72585058585213,0.03765750000093249,17922.180288080388,98,93,57,44,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3584.4360576160775,490.0,93.0,171.0,26.0,True,
local_synthetic,local-3-2026091119-random,holdout,3,2026091119,random,spatial,11,11,1.0,3975.526467679477,361.4114970617706,0.02092139999876963,16327.632338397387,103,101,24,13,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3265.5264676794773,515.0,101.0,72.0,22.0,True,
local_synthetic,local-3-2026091120-random,holdout,3,2026091120,random,spatial,14,14,1.0,4920.593980141968,351.4709985815692,0.02821330000006128,20812.96990070984,103,101,38,24,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,4162.593980141968,515.0,101.0,114.0,28.0,True,
local_synthetic,local-3-2026091121-random,holdout,3,2026091121,random,spatial,16,16,1.0,4617.035704099315,288.5647315062072,0.0243981999992684,19805.178520496574,90,87,29,13,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",6,count_upper_bound,3961.035704099315,450.0,87.0,87.0,32.0,True,
local_synthetic,local-3-2026091122-random,holdout,3,2026091122,random,spatial,10,10,1.0,4046.8749234289535,404.6874923428953,0.020107399999687914,16449.374617144767,114,110,19,9,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3289.8749234289535,570.0,110.0,57.0,20.0,True,
local_synthetic,local-3-2026091123-random,holdout,3,2026091123,random,spatial,15,15,1.0,4551.3914439369,303.42609626246,0.03258070000083535,18836.95721968449,109,107,34,19,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3767.391443936898,545.0,107.0,102.0,30.0,True,
local_synthetic,local-3-2026091124-random,holdout,3,2026091124,random,spatial,16,16,1.0,5613.338402438486,350.83365015240537,0.053036499999507214,24381.692012192427,90,87,56,40,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",6,count_upper_bound,4876.338402438485,450.0,87.0,168.0,32.0,True,
local_synthetic,local-3-2026091125-random,holdout,3,2026091125,random,spatial,15,15,1.0,4157.231832493226,277.14878883288173,0.04720239999915066,17166.15916246613,94,89,45,30,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3433.2318324932257,470.0,89.0,135.0,30.0,True,
local_synthetic,local-3-2026091126-random,holdout,3,2026091126,random,spatial,11,11,1.0,4109.201729105677,373.5637935550616,0.0302919000005204,17051.00864552839,97,93,33,22,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3410.201729105678,485.0,93.0,99.0,22.0,True,
local_synthetic,local-3-2026091127-random,holdout,3,2026091127,random,spatial,16,16,1.0,4278.019074143116,267.37619213394476,0.04302869999992254,18230.09537071558,77,74,47,31,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",5,count_upper_bound,3646.019074143116,385.0,74.0,141.0,32.0,True,
