seed,question,kind,noise,amplitude,variant,sources,cleared,average_s,virtual_s,runtime_s,measurements,clear_attempts,failed_clears,move_m,actions,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits,group
2031091198,3,random,spatial,1,baseline,16,16,274.90053196352517,4398.408511416403,0.0684979999996358,90,47,31,18442.042557082015,137,3688.4085114164027,87.0,450.0,141.0,32.0,16,6,count_upper_bound,16,15,validation
2031091198,3,random,spatial,1,candidate,16,16,204.65455366623786,3274.4728586598058,0.4192707000001974,117,49,33,11997.36429329903,166,2399.4728586598058,111.0,585.0,147.0,32.0,16,7,count_upper_bound,19,18,validation
2031091199,3,random,spatial,1,baseline,10,10,425.7371860812922,4257.371860812922,0.049681299999974726,111,21,11,17571.85930406461,132,3514.371860812922,105.0,555.0,63.0,20.0,10,7,full_coverage,7,7,validation
2031091199,3,random,spatial,1,candidate,10,10,270.8389697033894,2708.389697033894,0.23576390000016545,123,37,27,9231.948485169472,160,1846.3896970338947,116.0,615.0,111.0,20.0,10,7,full_coverage,11,9,validation
2032091100,3,boundary,constant,1,baseline,12,12,349.4290514967865,4193.148617961438,0.04731790000005276,124,16,4,16910.74308980719,140,3382.1486179614385,119.0,620.0,48.0,24.0,12,7,full_coverage,12,11,stress
2032091100,3,boundary,constant,1,candidate,12,12,314.90310473438524,3778.837256812623,0.25259040000037203,126,41,29,14404.186284063115,167,2880.837256812623,121.0,630.0,123.0,24.0,12,7,full_coverage,14,14,stress
2032091101,3,boundary,constant,1,baseline,12,12,401.80678829267,4821.6814595120395,0.03876209999998537,126,16,4,19993.407297560196,142,3998.6814595120395,121.0,630.0,48.0,24.0,12,7,full_coverage,13,12,stress
2032091101,3,boundary,constant,1,candidate,12,12,336.2690653898448,4035.228784678138,0.267445299999963,130,37,25,15636.143923390693,167,3127.2287846781387,123.0,650.0,111.0,24.0,12,7,full_coverage,13,13,stress
2032091102,3,boundary,constant,1,baseline,10,10,432.18448099618865,4321.844809961886,0.035240799999883166,133,19,9,17259.224049809432,152,3451.8448099618863,128.0,665.0,57.0,20.0,10,7,full_coverage,9,7,stress
2032091102,3,boundary,constant,1,candidate,10,10,373.7658800531568,3737.6588005315684,0.21028220000061992,135,29,19,14128.294002657844,164,2825.658800531569,130.0,675.0,87.0,20.0,10,7,full_coverage,11,9,stress
2032091103,3,boundary,constant,1,baseline,16,16,293.3294289971154,4693.270863953846,0.052870200000143086,108,28,12,19661.35431976923,136,3932.2708639538464,105.0,540.0,84.0,32.0,16,7,count_upper_bound,15,15,stress
2032091103,3,boundary,constant,1,candidate,16,16,271.98555635088235,4351.768901614118,0.3875309999993988,134,47,31,16898.844508070586,181,3379.768901614117,129.0,670.0,141.0,32.0,16,7,count_upper_bound,19,19,stress
2032091104,3,boundary,constant,1,baseline,13,13,404.35992638594865,5256.679043017332,0.03529100000014296,127,18,5,22108.39521508666,145,4421.679043017332,120.0,635.0,54.0,26.0,13,7,full_coverage,11,7,stress
2032091104,3,boundary,constant,1,candidate,13,13,371.0062106136676,4823.080737977679,0.30549880000035046,133,49,36,19295.40368988839,182,3859.080737977678,126.0,665.0,147.0,26.0,13,7,full_coverage,14,11,stress
2032091105,3,boundary,constant,1,baseline,11,11,392.30651294472284,4315.371642391951,0.034227500000270084,126,19,8,17421.85821195976,145,3484.371642391952,122.0,630.0,57.0,22.0,11,7,full_coverage,8,7,stress
2032091105,3,boundary,constant,1,candidate,11,11,378.86286691482184,4167.49153606304,0.2892689000000246,134,37,26,16192.457680315203,171,3238.4915360630407,126.0,670.0,111.0,22.0,11,7,full_coverage,11,8,stress
2032091106,3,boundary,constant,1,baseline,13,13,360.06933065760495,4680.901298548864,0.052605400000174996,122,24,11,19279.506492744316,146,3855.9012985488635,117.0,610.0,72.0,26.0,13,7,full_coverage,12,9,stress
2032091106,3,boundary,constant,1,candidate,13,13,338.2517783410343,4397.273118433446,0.2930351000004521,126,64,51,17146.365592167225,190,3429.273118433445,120.0,630.0,192.0,26.0,13,7,full_coverage,15,13,stress
2032091107,3,boundary,constant,1,baseline,11,11,397.42489957730197,4371.673895350322,0.038464599999315396,118,17,6,17983.369476751606,135,3596.6738953503213,112.0,590.0,51.0,22.0,11,7,full_coverage,10,8,stress
2032091107,3,boundary,constant,1,candidate,11,11,352.35877481262395,3875.9465229388634,0.18888969999989058,120,40,29,15099.73261469432,160,3019.946522938864,114.0,600.0,120.0,22.0,11,7,full_coverage,12,11,stress
2032091108,3,boundary,constant,1,baseline,13,13,348.87010629703434,4535.3113818614465,0.03820559999985562,124,19,6,18561.556909307237,143,3712.3113818614474,120.0,620.0,57.0,26.0,13,7,full_coverage,10,9,stress
2032091108,3,boundary,constant,1,candidate,13,13,323.592046213989,4206.696600781857,0.2644838999995045,127,45,32,16443.48300390929,172,3288.696600781858,122.0,635.0,135.0,26.0,13,7,full_coverage,13,13,stress
2032091109,3,boundary,constant,1,baseline,15,15,327.13479013487415,4907.021852023112,0.05603100000007544,127,24,9,20240.109260115554,151,4048.0218520231106,122.0,635.0,72.0,30.0,15,7,full_coverage,15,14,stress
2032091109,3,boundary,constant,1,candidate,15,15,311.2928188879962,4669.392283319943,0.40448730000025535,137,46,31,18421.961416599715,183,3684.392283319943,132.0,685.0,138.0,30.0,15,7,full_coverage,19,19,stress
2032091100,3,boundary,constant,-1,baseline,12,12,344.30726335182925,4131.687160221951,0.04082589999961783,123,14,2,16658.43580110975,137,3331.6871602219503,119.0,615.0,42.0,24.0,12,7,full_coverage,11,10,stress
2032091100,3,boundary,constant,-1,candidate,12,12,316.4998783748545,3797.9985404982544,0.22431039999992208,125,46,34,14454.992702491272,171,2890.9985404982544,120.0,625.0,138.0,24.0,12,7,full_coverage,13,13,stress
2032091101,3,boundary,constant,-1,baseline,12,12,397.72727197064074,4772.727263647689,0.035589299999628565,126,17,5,19728.636318238445,143,3945.7272636476887,122.0,630.0,51.0,24.0,12,7,full_coverage,13,12,stress
2032091101,3,boundary,constant,-1,candidate,12,12,345.3419781848997,4144.103738218796,0.23774210000010498,130,35,23,16210.518691093981,165,3242.103738218796,123.0,650.0,105.0,24.0,12,7,full_coverage,13,13,stress
2032091102,3,boundary,constant,-1,baseline,10,10,451.81527696445147,4518.152769644515,0.030638100000032864,133,12,2,18335.763848222574,145,3667.152769644515,130.0,665.0,36.0,20.0,10,7,full_coverage,9,8,stress
